Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Naraka: Bladepoint,PC,NetEase Games,Battle Royale,71,6,2021
Diablo IV,PC,Blizzard Entertainment,Action,86,2.6,2023
Bloodborne,PS4,SCEA,Action,92,9,2015
The Last of Us Remastered,PS4,SCEA,Action,95,9.2,2014
Assassin's Creed: Brotherhood,PS3,Ubisoft,Action,90,8.3,2010
Grand Theft Auto: Vice City,PS2,Rockstar Games,Action,95,8.7,2002
Grand Theft Auto: San Andreas,PS2,Rockstar Games,Action,95,9.2,2004
Grand Theft Auto V,PS4,Rockstar Games,Action,97,8.5,2014
Red Dead Redemption 2,PS4,Rockstar Games,Action,97,8.8,2018
DAVE THE DIVER,PC,MINT ROCKET,Action,90,8.3,2023
Mafia II,PC,2K Games,Action,77,8.3,2010
NBA 2K24,PS5,2K Games,Sport,68,2.2,2023
Team Fortress 2,PC,Valve Software,FPS,92,8.6,2007
Winning Post 8 2016,PSV,Tecmo Koei,Simulation,,,2016
Wii Sports,Wii,Nintendo,Sports,76,8,2006
Super Mario Bros.,NES,Nintendo,Platform,,,1985
Mario Kart Wii,Wii,Nintendo,Racing,82,8.3,2008
Wii Sports Resort,Wii,Nintendo,Sports,80,8,2009
Pokemon Red/Pokemon Blue,GB,Nintendo,Role-Playing,,,1996
Tetris,GB,Nintendo,Puzzle,,,1989
New Super Mario Bros.,DS,Nintendo,Platform,89,8.5,2006
Wii Play,Wii,Nintendo,Misc,58,6.6,2006
New Super Mario Bros. Wii,Wii,Nintendo,Platform,87,8.4,2009
Duck Hunt,NES,Nintendo,Shooter,,,1984
Nintendogs,DS,Nintendo,Simulation,,,2005
Mario Kart DS,DS,Nintendo,Racing,91,8.6,2005
Pokemon Gold/Pokemon Silver,GB,Nintendo,Role-Playing,,,1999
Wii Fit,Wii,Nintendo,Sports,80,7.7,2007
Kinect Adventures!,X360,Microsoft Game Studios,Misc,61,6.3,2010
Wii Fit Plus,Wii,Nintendo,Sports,80,7.4,2009
Grand Theft Auto V,PS3,Take-Two Interactive,Action,97,8.2,2013
Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,Action,95,9,2004
Super Mario World,SNES,Nintendo,Platform,,,1990
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Misc,77,7.9,2005
Pokemon Diamond/Pokemon Pearl,DS,Nintendo,Role-Playing,,,2006
Super Mario Land,GB,Nintendo,Platform,,,1989
Super Mario Bros. 3,NES,Nintendo,Platform,,,1988
Grand Theft Auto V,X360,Take-Two Interactive,Action,97,8.1,2013
Grand Theft Auto: Vice City,PS2,Take-Two Interactive,Action,95,8.7,2002
Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,Role-Playing,,,2002
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Puzzle,77,7.1,2005
Pokemon Black/Pokemon White,DS,Nintendo,Role-Playing,,,2010
Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,Racing,95,8.4,2001
Call of Duty: Modern Warfare 3,X360,Activision,Shooter,88,3.4,2011
Pokemon Yellow: Special Pikachu Edition,GB,Nintendo,Role-Playing,,,1998
Call of Duty: Black Ops 3,PS4,Activision,Shooter,,,2015
Call of Duty: Black Ops,X360,Activision,Shooter,87,6.3,2010
Pokemon X/Pokemon Y,3DS,Nintendo,Role-Playing,,,2013
Call of Duty: Black Ops II,PS3,Activision,Shooter,83,5.3,2012
Call of Duty: Black Ops II,X360,Activision,Shooter,83,4.8,2012
Call of Duty: Modern Warfare 2,X360,Activision,Shooter,94,6.3,2009
Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,88,3.2,2011
Grand Theft Auto III,PS2,Take-Two Interactive,Action,97,8.5,2001
Super Smash Bros. Brawl,Wii,Nintendo,Fighting,93,8.9,2008
Mario Kart 7,3DS,Nintendo,Racing,85,8.2,2011
Call of Duty: Black Ops,PS3,Activision,Shooter,88,6.4,2010
Grand Theft Auto V,PS4,Take-Two Interactive,Action,97,8.3,2014
Animal Crossing: Wild World,DS,Nintendo,Simulation,86,8.7,2005
Halo 3,X360,Microsoft Game Studios,Shooter,94,7.8,2007
Super Mario 64,N64,Nintendo,Platform,,,1996
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,Action,,,2009
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,Role-Playing,,,2014
Gran Turismo 4,PS2,Sony Computer Entertainment,Racing,89,8.5,2004
Super Mario Galaxy,Wii,Nintendo,Platform,97,8.9,2007
Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Adventure,,,1992
Grand Theft Auto IV,X360,Take-Two Interactive,Action,98,7.9,2008
Gran Turismo,PS,Sony Computer Entertainment,Racing,96,8.7,1997
Super Mario 3D Land,3DS,Nintendo,Platform,90,8.4,2011
Gran Turismo 5,PS3,Sony Computer Entertainment,Racing,84,7.5,2010
Call of Duty: Modern Warfare 2,PS3,Activision,Shooter,94,6.3,2009
Super Mario All-Stars,SNES,Nintendo,Platform,,,1993
Grand Theft Auto IV,PS3,Take-Two Interactive,Action,98,7.5,2008
Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,Role-Playing,,,2004
Super Mario 64,DS,Nintendo,Platform,,,2004
Call of Duty: Ghosts,X360,Activision,Shooter,73,2.6,2013
Just Dance 3,Wii,Ubisoft,Misc,74,7.8,2011
New Super Mario Bros. 2,3DS,Nintendo,Platform,78,7.2,2012
Mario Kart 64,N64,Nintendo,Racing,,,1996
Halo: Reach,X360,Microsoft Game Studios,Shooter,91,7.9,2010
Final Fantasy VII,PS,Sony Computer Entertainment,Role-Playing,92,9.2,1997
Halo 4,X360,Microsoft Game Studios,Shooter,87,7,2012
Gran Turismo 2,PS,Sony Computer Entertainment,Racing,93,9,1999
Just Dance 2,Wii,Ubisoft,Misc,74,7.3,2010
Call of Duty: Ghosts,PS3,Activision,Shooter,71,2.6,2013
Call of Duty 4: Modern Warfare,X360,Activision,Shooter,94,8.4,2007
Donkey Kong Country,SNES,Nintendo,Platform,,,1994
Minecraft,X360,Microsoft Game Studios,Misc,,,2013
Animal Crossing: New Leaf,3DS,Nintendo,Simulation,88,8.7,2012
Mario Party DS,DS,Nintendo,Misc,72,7.8,2007
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Role-Playing,96,8.4,2011
Super Mario Kart,SNES,Nintendo,Racing,,,1992
FIFA 16,PS4,Electronic Arts,Sports,82,4.3,2015
Halo 2,XB,Microsoft Game Studios,Shooter,95,8.2,2004
Wii Party,Wii,Nintendo,Misc,68,7.4,2010
Mario Party 8,Wii,Nintendo,Misc,62,6.3,2007
FIFA Soccer 13,PS3,Electronic Arts,Action,88,6.6,2012
GoldenEye 007,N64,Nintendo,Shooter,,,1997
Pokemon Black 2/Pokemon White 2,DS,Nintendo,Role-Playing,,,2012
Final Fantasy X,PS2,Sony Computer Entertainment,Role-Playing,92,8.7,2001
The Sims 3,PC,Electronic Arts,Simulation,86,7.6,2009
Mario & Sonic at the Olympic Games,Wii,Sega,Sports,,,2007
Star Wars Battlefront (2015),PS4,Electronic Arts,Shooter,,,2015
Final Fantasy VIII,PS,SquareSoft,Role-Playing,90,8.6,1999
Pac-Man,2600,Atari,Puzzle,,,1982
Pokemon Platinum Version,DS,Nintendo,Role-Playing,83,8.5,2008
Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,Action,88,7.6,2005
Call of Duty: Advanced Warfare,PS4,Activision,Shooter,83,5.7,2014
The Legend of Zelda: Ocarina of Time,N64,Nintendo,Action,,,1998
FIFA 17,PS4,Electronic Arts,Sports,85,5,2016
Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,Platform,,,1997
Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,Fighting,,,2014
Super Mario Galaxy 2,Wii,Nintendo,Platform,97,9.1,2010
Super Mario Bros. 2,NES,Nintendo,Platform,,,1988
Call of Duty: Black Ops 3,XOne,Activision,Shooter,,,2015
Call of Duty: World at War,X360,Activision,Shooter,84,7.6,2008
Battlefield 3,X360,Electronic Arts,Shooter,84,7.4,2011
Need for Speed Underground,PS2,Electronic Arts,Racing,85,8.6,2003
Just Dance,Wii,Ubisoft,Misc,49,8,2009
Battlefield 3,PS3,Electronic Arts,Shooter,85,7.5,2011
Fallout 4,PS4,Bethesda Softworks,Role-Playing,87,6.5,2015
Tekken 3,PS,Sony Computer Entertainment,Fighting,96,9.1,1998
The Legend of Zelda: Twilight Princess,Wii,Nintendo,Action,95,9,2006
Pokemon Sun/Moon,3DS,Nintendo,Role-Playing,,,2016
Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Platform,91,8.9,1998
Mario Kart 8,WiiU,Nintendo,Racing,88,9.1,2014
Super Smash Bros. Melee,GC,Nintendo,Fighting,92,9.1,2001
Mario Kart: Double Dash!!,GC,Nintendo,Racing,,,2003
Need for Speed Underground 2,PS2,Electronic Arts,Racing,82,8.6,2004
Medal of Honor: Frontline,PS2,Electronic Arts,Shooter,88,8.5,2002
Crash Bandicoot,PS,Sony Computer Entertainment,Platform,,,1996
Just Dance 4,Wii,Ubisoft,Misc,74,7.3,2012
Gears of War 2,X360,Microsoft Game Studios,Shooter,93,7.7,2008
Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Action,92,8.3,2011
Zumba Fitness,Wii,505 Games,Sports,,,2010
Call of Duty 4: Modern Warfare,PS3,Activision,Shooter,94,8.4,2007
Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Action,96,8.8,2009
FIFA 12,PS3,Electronic Arts,Sports,,,2011
Big Brain Academy,DS,Nintendo,Misc,74,7.4,2005
The Legend of Zelda,NES,Nintendo,Action,,,1986
Red Dead Redemption,PS3,Take-Two Interactive,Action,95,8.8,2010
FIFA 14,PS3,Electronic Arts,Sports,86,4.3,2013
Assassin's Creed III,PS3,Ubisoft,Action,85,6.9,2012
Donkey Kong Country Returns,Wii,Nintendo,Platform,87,8.6,2010
Halo: Combat Evolved,XB,Microsoft Game Studios,Shooter,97,8.6,2001
The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Role-Playing,92,6.4,2011
PokÃƒÂ©mon Emerald Version,GBA,Nintendo,Role-Playing,76,9,2004
Kingdom Hearts,PS2,Sony Computer Entertainment,Role-Playing,85,8.8,2002
PokÃƒÂ©mon Crystal Version,GB,Nintendo,Role-Playing,,,2000
Halo 3: ODST,X360,Microsoft Game Studios,Shooter,83,7.1,2009
Red Dead Redemption,X360,Take-Two Interactive,Action,95,9,2010
Super Mario Sunshine,GC,Nintendo,Platform,92,8.6,2002
Street Fighter II: The World Warrior,SNES,Capcom,Fighting,,,1992
World of Warcraft,PC,Activision,Role-Playing,93,7.3,2004
Driver,PS,GT Interactive,Action,87,8.1,1999
Gears of War 3,X360,Microsoft Game Studios,Shooter,91,7.8,2011
Kinect Sports,X360,Microsoft Game Studios,Sports,73,7.4,2010
Gears of War,X360,Microsoft Game Studios,Shooter,94,8.3,2006
FIFA 15,PS4,Electronic Arts,Sports,82,5.7,2014
Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,Action,96,8.7,2001
Sonic the Hedgehog 2,GEN,Sega,Platform,,,1992
Metal Gear Solid,PS,Konami Digital Entertainment,Action,94,9.4,1998
Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,Action,94,8.7,2008
Final Fantasy XII,PS2,Square Enix,Role-Playing,92,7.6,2006
The Last of Us,PS3,Sony Computer Entertainment Europe,Action,95,9.1,2013
LittleBigPlanet,PS3,Sony Computer Entertainment,Platform,95,6.8,2008
Resident Evil 2,PS,Virgin Interactive,Action,89,9.2,1998
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Role-Playing,87,8.8,2009
Tekken 2,PS,Sony Computer Entertainment,Fighting,89,8.9,1996
Destiny,PS4,Activision,Shooter,76,6.1,2014
LEGO Star Wars: The Complete Saga,Wii,LucasArts,Action,80,8.9,2007
Cooking Mama,DS,505 Games,Simulation,67,7.2,2006
Tetris,NES,Nintendo,Puzzle,,,1988
Super Smash Bros.,N64,Nintendo,Fighting,,,1999
Assassin's Creed II,PS3,Ubisoft,Action,91,8.6,2009
Assassin's Creed,X360,Ubisoft,Adventure,81,7.7,2007
Forza Motorsport 3,X360,Microsoft Game Studios,Racing,92,8,2009
Super Mario Advance,GBA,Nintendo,Platform,84,7.8,2001
Monster Hunter Freedom Unite,PSP,Capcom,Role-Playing,81,8.7,2008
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,Action,96,8.6,2011
Grand Theft Auto V,XOne,Take-Two Interactive,Action,97,7.9,2014
Mario Kart: Super Circuit,GBA,Nintendo,Racing,93,8.3,2001
Super Mario World,GBA,Nintendo,Platform,,,2001
Pokemon Stadium,N64,Nintendo,Strategy,,,1999
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Platform,66,7.1,2001
Call of Duty: World at War,PS3,Activision,Shooter,85,7.6,2008
Uncharted 4: A Thief's End,PS4,Sony Computer Entertainment,Shooter,93,7.9,2016
Dr. Mario,GB,Nintendo,Puzzle,,,1989
Final Fantasy XIII,PS3,Square Enix,Role-Playing,83,7.3,2009
Pokemon Pinball,GB,Nintendo,Misc,,,1999
Final Fantasy IX,PS,SquareSoft,Role-Playing,94,8.9,2000
Assassin's Creed III,X360,Ubisoft,Action,84,6.7,2012
Final Fantasy X-2,PS2,Electronic Arts,Role-Playing,85,6.6,2003
Donkey Kong 64,N64,Nintendo,Platform,,,1999
Call of Duty: Advanced Warfare,XOne,Activision,Shooter,81,5.4,2014
Minecraft,PS3,Sony Computer Entertainment,Misc,,,2014
Assassin's Creed II,X360,Ubisoft,Action,90,8.8,2009
Tomb Raider II,PS,Eidos Interactive,Action,85,,1997
Madden NFL 2004,PS2,Electronic Arts,Sports,94,8.5,
Tomodachi Life,3DS,Nintendo,Simulation,,,2013
New Super Mario Bros. U,WiiU,Nintendo,Platform,84,8.1,2012
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Role-Playing,89,8.8,2004
Super Mario Bros. 3,GBA,Nintendo,Platform,,,2003
Professor Layton and the Curious Village,DS,Nintendo,Puzzle,85,8.6,2007
Super Mario Land 3: Wario Land,GB,Nintendo,Platform,,,1994
FIFA Soccer 13,X360,Electronic Arts,Action,90,6.1,2012
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Platform,,,1995
Diablo III,PC,Activision,Role-Playing,88,4,2012
Medal of Honor: Rising Sun,PS2,Electronic Arts,Shooter,68,7.6,2003
Kirby's Dream Land,GB,Nintendo,Platform,,,1992
Microsoft Flight Simulator,PC,Microsoft Game Studios,Simulation,,,1996
Guitar Hero II,PS2,RedOctane,Misc,92,8.5,2006
Fable III,X360,Microsoft Game Studios,Role-Playing,80,6.5,2010
Mario & Sonic at the Olympic Games,DS,Sega,Sports,,,2008
Resident Evil 5,PS3,Capcom,Action,84,7.5,2009
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Action,90,8,2007
Super Mario Bros.,GB,Nintendo,Platform,,,1999
FIFA Soccer 11,PS3,Electronic Arts,Sports,89,8,2010
Resident Evil,PS,Virgin Interactive,Action,91,9,1996
Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive,Action,86,8,2006
Tony Hawk's Pro Skater,PS,Activision,Sports,92,9.2,1999
Warzone 2100,PS,Eidos Interactive,Strategy,,,1999
Spyro the Dragon,PS,Sony Computer Entertainment,Platform,,,1998
Guitar Hero III: Legends of Rock,PS2,Activision,Misc,82,8.2,2007
Link's Crossbow Training,Wii,Nintendo,Shooter,68,7.1,2007
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Nintendo,Role-Playing,,,2007
Fallout 3,X360,Bethesda Softworks,Role-Playing,93,8.5,2008
Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Action,88,8.1,2007
Madden NFL 06,PS2,Electronic Arts,Sports,88,8,2005
Diddy Kong Racing,N64,Nintendo,Racing,,,1997
Monster Hunter Freedom 3,PSP,Capcom,Role-Playing,,,2010
Super Smash Bros. for Wii U and 3DS,WiiU,Nintendo,Fighting,,,2014
